Date,Price,Open,High,Low,Volume,Chg%
2017-10-26,938.5,931.17,948.81,922.26,7770000,0.008
2017-10-27,921.12,941.08,947.72,917.01,5310000,-0.018500000000000003
2017-10-30,933.65,925.23,936.67,921.86,3610000,0.013600000000000001
2017-10-31,932.02,936.08,936.87,923.45,4390000,-0.0017000000000000001
2017-11-01,943.61,938.85,948.81,936.87,8109999,0.0124
2017-11-02,937.71,943.85,947.52,935.38,4740000,-0.0063
2017-11-03,936.42,946.97,946.97,931.32,2210000,-0.0014000000000000002
2017-11-06,923.74,933.65,933.65,920.28,4500000,-0.013500000000000002
2017-11-07,898.19,924.59,926.22,894.57,9440000,-0.0277
2017-11-08,879.46,894.03,897.49,875.8,8189999,-0.0209
2017-11-09,892.04,886.35,901.36,883.67,6930000,0.0143
2017-11-10,875.55,892.49,892.49,870.94,6430000,-0.018500000000000003
2017-11-13,867.03,876.69,883.53,865.3,4190000,-0.0097
2017-11-14,878.37,866.78,886.6,864.8,5760000,0.0131
2017-11-15,875.4,876.19,882.24,869.71,7050000,-0.0034000000000000002
2017-11-16,895.36,877.19,897.49,877.19,7000000,0.022799999999999997
2017-11-17,903.34,910.32,916.22,899.97,5640000,0.0089
2017-11-20,912.2,897.69,915.67,896.5,4260000,0.0098
2017-11-21,923.79,918.1,930.83,916.81,6040000,0.0127
2017-11-22,922.01,928.65,929.84,914.78,5100000,-0.0019
2017-11-23,938.11,922.26,940.98,917.95,7400000,0.0175
2017-11-24,942.17,941.08,950.49,938.5,6460000,0.0043
2017-11-27,942.42,938.36,948.51,935.14,4720000,0.0003
2017-11-28,934.49,940.93,942.42,929.29,4690000,-0.0084
2017-11-29,937.12,933.01,941.08,932.16,3710000,0.0028000000000000004
2017-11-30,912.9,932.61,932.61,910.87,9520000,-0.0258
2017-12-01,901.55,915.77,922.51,899.18,5130000,-0.0124
2017-12-04,893.13,904.92,905.22,888.92,4660000,-0.009300000000000001
2017-12-05,905.12,892.59,912.1,887.04,8450000,0.0134
2017-12-06,917.95,901.46,921.56,900.27,11110000,0.014199999999999999
2017-12-07,922.8,921.32,927.21,914.33,5580000,0.0053
2017-12-08,912.35,925.08,928.15,910.42,5640000,-0.0113
2017-12-11,907.55,913.79,917.3,904.97,4980000,-0.0053
2017-12-12,907.0,907.35,920.28,899.47,7280000,-0.0006
2017-12-13,906.06,908.29,916.26,902.15,4220000,-0.001
2017-12-14,912.85,910.37,916.22,900.22,5070000,0.0075
2017-12-15,911.11,922.26,924.19,909.08,11260000,-0.0019
2017-12-18,912.35,903.39,923.89,854.55,8580000,0.0014000000000000002
2017-12-19,917.26,914.93,918.3,911.36,4099999,0.0054
2017-12-20,909.53,917.21,918.69,908.39,4820000,-0.0084
2017-12-21,904.38,909.83,915.27,901.46,4190000,-0.005699999999999999
2017-12-22,911.76,906.06,913.74,900.76,4920000,0.008199999999999999
2017-12-26,921.07,916.17,930.08,909.53,5350000,0.0102
2017-12-27,915.08,924.24,928.7,910.37,4390000,-0.006500000000000001
2017-12-28,915.52,916.56,925.63,910.47,7160000,0.0005
2017-12-29,912.4,917.8,923.55,909.88,5120000,-0.0034000000000000002
2018-01-01,901.21,914.04,914.04,898.98,4360000,-0.0123
2018-01-02,902.59,904.43,910.92,897.89,4380000,0.0015
2018-01-03,906.21,916.31,917.3,904.48,6230000,0.004
2018-01-04,911.66,909.53,913.14,907.1,4160000,0.006
2018-01-05,914.58,913.14,918.2,911.61,3430000,0.0032
2018-01-08,919.83,917.4,922.26,914.83,4070000,0.005699999999999999
2018-01-09,932.11,919.43,935.04,915.32,6600000,0.0134
2018-01-10,933.5,934.15,938.5,926.72,5410000,0.0015
2018-01-11,928.94,932.96,933.8,926.22,3620000,-0.0049
2018-01-12,940.09,934.15,943.85,929.44,6960000,0.012
2018-01-15,940.24,941.08,949.5,936.32,5130000,0.0002
2018-01-16,914.28,938.8,938.8,911.36,5000000,-0.0276
2018-01-17,915.82,917.3,920.28,898.48,6090000,0.0017000000000000001
2018-01-18,911.06,920.28,920.87,906.51,4330000,-0.0052
2018-01-19,922.56,914.33,925.63,913.44,4600000,0.0126
2018-01-22,962.38,939.1,965.15,931.17,21090000,0.0432
2018-01-23,974.02,965.84,981.64,965.84,10400000,0.0121
2018-01-24,957.28,972.53,972.53,953.61,6590000,-0.0172
2018-01-25,956.83,958.81,962.87,947.17,6310000,-0.0005
2018-01-29,955.44,957.13,968.12,950.29,4570000,-0.0015
2018-01-30,941.48,956.73,956.73,940.09,4240000,-0.0146
2018-01-31,952.27,941.08,955.44,932.71,5790000,0.0115
2018-02-01,934.99,954.21,963.47,927.81,7630000,-0.0181
2018-02-02,895.86,926.22,935.09,892.54,13370000,-0.04190000000000001
2018-02-05,893.68,885.61,903.93,873.52,8860000,-0.0024
2018-02-06,883.72,868.76,889.57,862.82,11100000,-0.0111
2018-02-07,886.0,894.08,896.9,881.64,7170000,0.0026
2018-02-08,896.06,889.47,902.1,883.97,6380000,0.011399999999999999
2018-02-09,889.42,880.65,893.53,877.68,5340000,-0.0074
2018-02-12,906.9,894.52,909.58,893.58,5480000,0.0197
2018-02-14,924.88,914.33,933.65,912.35,10270000,0.019799999999999998
2018-02-15,926.86,928.85,936.87,919.43,6170000,0.0021
2018-02-16,912.65,930.78,933.75,909.48,4440000,-0.015300000000000001
2018-02-19,918.3,912.35,923.25,904.97,4130000,0.0062
2018-02-20,912.45,920.28,920.82,910.17,3900000,-0.0064
2018-02-21,920.62,921.27,923.74,913.49,5500000,0.009000000000000001
2018-02-22,915.67,913.34,922.26,911.36,5170000,-0.0054
2018-02-23,925.48,916.71,929.19,914.09,4900000,0.010700000000000001
2018-02-26,929.89,930.18,936.03,927.81,3890000,0.0048
2018-02-27,941.57,930.18,946.83,929.54,6470000,0.0126
2018-02-28,945.59,937.07,948.11,934.34,26140000,0.0043
