,Date,Price,Open,High,Low,Volume,Chg%
470,"Apr 29, 2021",301.9,308.9,310.0,301.25,36.65M,-1.31%
471,"Apr 28, 2021",305.9,303.5,309.5,303.0,44.67M,1.46%
472,"Apr 27, 2021",301.5,295.7,302.5,295.1,35.04M,2.06%
473,"Apr 26, 2021",295.4,297.0,299.0,294.6,30.58M,0.48%
474,"Apr 23, 2021",294.0,291.0,300.0,290.5,58.16M,-0.19%
475,"Apr 22, 2021",294.55,294.0,302.5,292.2,61.02M,-1.17%
476,"Apr 20, 2021",298.05,307.7,308.15,294.2,56.74M,-1.11%
477,"Apr 19, 2021",301.4,295.0,304.5,292.8,65.79M,-2.77%
478,"Apr 16, 2021",310.0,302.0,315.0,300.15,75.33M,2.14%
479,"Apr 15, 2021",303.5,303.0,307.55,296.5,75.26M,0.21%
480,"Apr 13, 2021",302.85,287.25,304.55,280.55,116.87M,5.69%
481,"Apr 12, 2021",286.55,307.85,307.85,282.9,105.34M,-9.95%
482,"Apr 09, 2021",318.2,313.2,325.0,312.5,75.46M,1.35%
483,"Apr 08, 2021",313.95,307.9,319.8,307.5,62.46M,2.00%
484,"Apr 07, 2021",307.8,306.75,310.65,305.1,39.07M,0.02%
485,"Apr 06, 2021",307.75,306.15,313.8,304.8,63.03M,0.89%
486,"Apr 05, 2021",305.05,306.8,311.7,297.2,66.18M,-0.88%
487,"Apr 01, 2021",307.75,306.75,309.85,303.05,44.09M,1.97%
488,"Mar 31, 2021",301.8,299.0,307.5,297.5,58.57M,1.60%
489,"Mar 30, 2021",297.05,300.5,301.3,292.7,45.26M,0.22%
490,"Mar 26, 2021",296.4,290.5,301.4,290.5,80.92M,3.80%
491,"Mar 25, 2021",285.55,294.0,294.0,282.25,84.53M,-3.02%
492,"Mar 24, 2021",294.45,303.55,305.0,293.2,61.52M,-4.21%
493,"Mar 23, 2021",307.4,305.0,312.25,304.0,60.24M,1.44%
494,"Mar 22, 2021",303.05,306.45,307.5,300.1,56.39M,-1.91%
495,"Mar 19, 2021",308.95,303.5,311.0,290.2,109.93M,0.64%
496,"Mar 18, 2021",307.0,311.0,316.6,299.75,73.73M,0.39%
497,"Mar 17, 2021",305.8,318.6,320.0,304.0,47.26M,-4.42%
498,"Mar 16, 2021",319.95,321.0,321.9,315.1,39.27M,0.44%
499,"Mar 15, 2021",318.55,320.0,320.4,310.05,45.08M,0.31%
500,"Mar 12, 2021",317.55,325.05,326.5,314.15,48.36M,-1.21%
501,"Mar 10, 2021",321.45,319.5,324.45,316.7,58.64M,1.98%
502,"Mar 09, 2021",315.2,325.0,328.35,309.6,74.70M,-1.88%
503,"Mar 08, 2021",321.25,331.75,331.75,318.8,81.93M,-1.20%
504,"Mar 05, 2021",325.15,333.0,337.85,319.7,86.74M,-4.14%
505,"Mar 04, 2021",339.2,339.0,345.4,337.3,59.86M,-2.67%
506,"Mar 03, 2021",348.5,348.65,357.0,346.5,92.01M,0.80%
507,"Mar 02, 2021",345.75,331.1,347.2,326.45,127.71M,5.32%
508,"Mar 01, 2021",328.3,330.0,331.85,322.7,61.19M,1.66%
509,"Feb 26, 2021",322.95,323.0,332.95,318.85,91.90M,-3.06%
510,"Feb 25, 2021",333.15,325.35,334.7,323.25,64.51M,3.58%
511,"Feb 24, 2021",321.65,325.0,330.0,316.5,50.82M,-0.73%
512,"Feb 23, 2021",324.0,308.5,328.9,308.5,133.31M,6.40%
513,"Feb 22, 2021",304.5,312.45,313.9,302.15,57.72M,-2.36%
514,"Feb 19, 2021",311.85,321.95,321.95,301.4,80.27M,-3.71%
515,"Feb 18, 2021",323.85,331.5,331.75,321.1,49.20M,-1.91%
516,"Feb 17, 2021",330.15,326.9,334.25,325.45,52.15M,0.29%
517,"Feb 16, 2021",329.2,335.45,337.9,327.5,65.94M,-1.24%
518,"Feb 15, 2021",333.35,329.9,335.8,324.0,78.68M,2.44%
519,"Feb 12, 2021",325.4,326.4,330.5,321.25,64.09M,0.12%
520,"Feb 11, 2021",325.0,326.45,331.35,323.4,55.26M,-1.19%
521,"Feb 10, 2021",328.9,326.0,332.65,319.5,93.47M,1.18%
522,"Feb 09, 2021",325.05,337.0,338.5,322.2,105.98M,-3.24%
523,"Feb 08, 2021",335.95,318.75,339.25,318.0,102.12M,6.35%
524,"Feb 05, 2021",315.9,327.6,330.0,312.6,103.51M,-3.14%
525,"Feb 04, 2021",326.15,329.0,334.5,322.45,121.03M,-1.47%
526,"Feb 03, 2021",331.0,339.2,341.9,326.2,224.19M,2.80%
527,"Feb 02, 2021",322.0,293.6,328.85,290.4,251.97M,15.16%
528,"Feb 01, 2021",279.6,269.75,282.0,255.35,165.66M,6.43%
529,"Jan 29, 2021 E",262.7,273.0,278.8,260.6,138.44M,-1.54%
530,"Jan 28, 2021",266.8,260.05,273.4,259.05,129.16M,-0.26%
531,"Jan 27, 2021",267.5,274.9,275.0,265.7,126.59M,-4.17%
532,"Jan 25, 2021",279.15,296.9,299.5,277.35,164.35M,-3.53%
533,"Jan 22, 2021",289.35,295.95,306.9,278.35,316.01M,-0.43%
534,"Jan 21, 2021",290.6,281.0,299.0,280.0,283.61M,5.71%
535,"Jan 20, 2021",274.9,260.0,277.5,258.85,205.15M,6.28%
536,"Jan 19, 2021",258.65,251.5,261.7,251.3,136.86M,5.16%
537,"Jan 18, 2021",245.95,261.65,262.45,241.15,173.38M,-5.51%
538,"Jan 15, 2021",260.3,246.0,264.65,242.6,250.04M,6.20%
539,"Jan 14, 2021",245.1,242.85,249.8,238.6,86.82M,1.03%
540,"Jan 13, 2021",242.6,242.9,248.8,238.4,164.65M,2.02%
541,"Jan 12, 2021",237.8,227.0,252.4,224.1,390.58M,7.77%
542,"Jan 11, 2021",220.65,199.9,225.4,199.65,182.48M,11.36%
543,"Jan 08, 2021",198.15,198.75,201.5,197.1,53.99M,0.71%
544,"Jan 07, 2021",196.75,197.0,200.35,195.1,66.02M,0.69%
545,"Jan 06, 2021",195.4,194.45,197.6,190.65,75.62M,1.14%
546,"Jan 05, 2021",193.2,187.1,193.9,185.05,75.75M,0.99%
547,"Jan 04, 2021",191.3,191.8,193.0,188.75,63.98M,2.57%
548,"Jan 01, 2021",186.5,184.95,187.0,184.5,27.33M,1.44%
549,"Dec 31, 2020",183.85,184.85,187.5,182.8,48.98M,-0.16%
550,"Dec 30, 2020",184.15,183.1,185.4,180.4,38.58M,0.38%
551,"Dec 29, 2020",183.45,187.9,188.45,181.1,71.32M,-1.56%
552,"Dec 28, 2020",186.35,179.85,187.4,179.0,98.01M,5.91%
553,"Dec 24, 2020",175.95,172.0,178.0,172.0,73.83M,3.99%
554,"Dec 23, 2020",169.2,165.0,169.7,163.4,56.93M,2.58%
555,"Dec 22, 2020",164.95,164.55,169.2,156.7,110.01M,0.24%
556,"Dec 21, 2020",164.55,176.0,177.55,162.5,75.58M,-8.86%
557,"Dec 18, 2020",180.55,180.9,181.5,176.65,46.07M,-0.63%
558,"Dec 17, 2020",181.7,184.0,184.0,180.65,34.10M,-0.47%
559,"Dec 16, 2020",182.55,181.0,183.8,180.1,51.26M,2.04%
560,"Dec 15, 2020",178.9,176.45,179.7,173.25,41.19M,0.70%
561,"Dec 14, 2020",177.65,181.0,181.5,176.7,33.19M,-0.67%
562,"Dec 11, 2020",178.85,177.95,181.45,176.5,43.07M,0.70%
563,"Dec 10, 2020",177.6,182.7,182.7,176.4,38.37M,-2.79%
564,"Dec 09, 2020",182.7,183.0,186.4,181.65,40.30M,0.50%
565,"Dec 08, 2020",181.8,184.95,185.7,178.95,42.14M,-0.95%
566,"Dec 07, 2020",183.55,184.45,186.45,182.7,29.80M,-0.33%
567,"Dec 04, 2020",184.15,186.5,188.8,182.2,48.00M,-0.38%
568,"Dec 03, 2020",184.85,185.0,186.0,183.25,33.33M,0.68%
569,"Dec 02, 2020",183.6,184.0,187.35,181.1,88.11M,2.14%
570,"Dec 01, 2020",179.75,182.35,182.4,178.1,48.88M,-0.33%
571,"Nov 27, 2020",180.35,174.65,183.85,174.65,125.93M,3.80%
572,"Nov 26, 2020",173.75,171.6,175.0,171.05,39.09M,1.34%
573,"Nov 25, 2020",171.45,175.0,176.8,169.25,54.37M,-0.35%
574,"Nov 24, 2020",172.05,171.85,175.5,171.1,47.70M,0.79%
575,"Nov 23, 2020",170.7,169.5,173.9,165.55,54.57M,0.95%
576,"Nov 20, 2020",169.1,170.05,171.55,165.55,66.94M,0.68%
577,"Nov 19, 2020",167.95,171.4,176.35,166.55,109.45M,-3.20%
578,"Nov 18, 2020",173.5,158.85,178.8,158.55,171.80M,9.81%
579,"Nov 17, 2020",158.0,152.5,159.35,152.2,82.64M,7.96%
