Date,Symbol,Price,Chg%,High,Low,Open,Volume
2017-03-29,tcs,1198.41,0.006,1201.45,1189.09,1194.19,1720000
2017-03-30,tcs,1196.64,-0.0015,1208.41,1193.7,1198.55,2990000
2017-03-31,tcs,1192.13,-0.0038,1196.57,1183.9,1195.37,1870000
2017-04-03,tcs,1182.28,-0.0083,1193.7,1180.56,1193.7,1200000
2017-04-05,tcs,1177.16,-0.0043,1186.3,1174.09,1186.3,2910000
2017-04-06,tcs,1176.57,-0.0005,1181.45,1172.89,1176.54,1720000
2017-04-07,tcs,1190.78,0.0121,1192.84,1172.7,1174.04,2280000
2017-04-10,tcs,1187.45,-0.0028,1200.56,1178.99,1192.23,2540000
2017-04-11,tcs,1186.0,-0.0012,1197.67,1179.48,1185.02,1560000
2017-04-12,tcs,1173.23,-0.0108,1190.27,1168.21,1187.57,1050000
2017-04-13,tcs,1141.57,-0.027,1180.96,1137.84,1176.54,2500000
2017-04-17,tcs,1134.8,-0.0059,1143.65,1125.14,1142.42,2270000
2017-04-18,tcs,1131.83,-0.0026,1144.29,1128.53,1142.23,1730000
2017-04-19,tcs,1127.1,-0.0042,1151.39,1104.38,1109.63,5630000
2017-04-20,tcs,1140.02,0.0115,1143.21,1123.08,1130.12,1270000
2017-04-21,tcs,1132.82,-0.0063,1145.0,1128.01,1141.79,1160000
2017-04-24,tcs,1141.3,0.0075,1146.96,1118.94,1127.52,2000000
2017-04-25,tcs,1133.16,-0.0070999999999999,1149.31,1128.84,1141.25,3150000
2017-04-26,tcs,1132.59,-0.0005,1149.07,1129.02,1147.13,2190000
2017-04-27,tcs,1128.82,-0.0033,1141.15,1116.56,1130.49,5770000
2017-04-28,tcs,1114.36,-0.0128,1126.91,1111.83,1124.58,2540000
2017-05-02,tcs,1122.57,0.0074,1128.5,1117.72,1124.58,2380000
2017-05-03,tcs,1145.81,0.0207,1149.58,1112.08,1125.07,3510000
2017-05-04,tcs,1142.28,-0.0031,1152.03,1131.83,1152.01,2710000
2017-05-05,tcs,1137.57,-0.0040999999999999,1143.45,1128.75,1131.44,1680000
2017-05-08,tcs,1148.33,0.0095,1150.76,1136.2,1137.82,1070000
2017-05-09,tcs,1153.28,0.0043,1157.42,1143.48,1149.07,1790000
2017-05-10,tcs,1143.43,-0.0085,1155.05,1135.36,1154.48,1210000
2017-05-11,tcs,1151.76,0.0073,1156.93,1138.67,1150.71,2069999
2017-05-12,tcs,1157.25,0.0048,1161.79,1137.35,1148.75,2310000
2017-05-15,tcs,1159.43,0.0019,1165.73,1147.91,1164.34,1820000
2017-05-16,tcs,1190.83,0.0271,1193.7,1163.53,1166.74,3600000
2017-05-17,tcs,1203.68,0.0108,1206.32,1187.82,1192.97,2880000
2017-05-18,tcs,1243.31,0.0329,1260.86,1197.26,1201.05,5140000
2017-05-19,tcs,1229.07,-0.0115,1245.44,1218.7,1243.31,1790000
2017-05-22,tcs,1240.93,0.0096,1251.92,1230.47,1230.47,1660000
2017-05-23,tcs,1236.2,-0.0038,1257.01,1232.43,1241.84,2750000
2017-05-24,tcs,1254.56,0.0149,1259.88,1240.1,1242.63,2530000
2017-05-25,tcs,1286.65,0.0256,1293.0,1258.9,1263.31,4090000
2017-05-26,tcs,1263.93,-0.0177,1287.75,1257.26,1286.84,1360000
2017-05-29,tcs,1261.28,-0.0021,1272.87,1256.94,1264.29,1750000
2017-05-30,tcs,1250.62,-0.0085,1262.8,1237.82,1254.98,927630
2017-05-31,tcs,1248.41,-0.0018,1261.11,1239.29,1241.74,2500000
2017-06-01,tcs,1251.84,0.0027,1256.94,1240.27,1240.27,1080000
2017-06-02,tcs,1257.38,0.0044,1270.59,1251.3,1253.14,1360000
2017-06-05,tcs,1276.53,0.0152,1284.34,1255.05,1257.43,1500000
2017-06-06,tcs,1321.65,0.0353,1328.0,1289.3,1289.79,5950000
2017-06-07,tcs,1282.06,-0.03,1323.61,1263.09,1322.14,4930000
2017-06-08,tcs,1236.16,-0.0358,1277.02,1233.16,1273.61,3330000
