Date,High,Chg%,Price,Symbol,Open,Volume,Low
2019-11-13,259.25,-0.0216,253.85,itc,258.9,10270000,253.15
2019-11-14,255.9,0.0002,253.9,itc,254.1,8880000,253.25
2019-11-15,255.75,-0.0128,250.65,itc,254.25,16739999,250.0
2019-11-18,252.25,0.0004,250.75,itc,251.45,7860000,248.75
2019-11-19,251.8,-0.0058,249.3,itc,251.75,12150000,248.8
2019-11-20,251.3,0.0056,250.7,itc,249.3,9980000,246.7
2019-11-21,251.4,-0.0199,245.7,itc,251.4,10390000,245.05
2019-11-22,252.65,0.0079,247.65,itc,247.15,16370000,246.65
2019-11-25,248.4,0.0004,247.75,itc,247.75,10590000,246.25
2019-11-26,250.4,0.0056999999999999,249.15,itc,248.65,19780000,247.7
2019-11-27,250.05,-0.0088,246.95,itc,249.75,8840000,246.6
2019-11-28,247.95,-0.001,246.7,itc,247.3,10990000,245.65
2019-11-29,247.4,-0.0012,246.4,itc,246.75,9810000,245.0
2019-12-02,246.9,-0.0059,244.95,itc,246.0,9970000,244.55
2019-12-03,245.8,-0.0037,244.05,itc,244.95,8130000,242.65
2019-12-04,244.05,-0.0037,243.15,itc,243.5,11950000,242.0
2019-12-05,247.5,0.0156,246.95,itc,243.15,11270000,243.1
2019-12-06,247.15,-0.0146,243.35,itc,247.0,10370000,242.5
2019-12-09,243.3,-0.0078,241.45,itc,243.0,6720000,241.0
2019-12-10,241.7,-0.0242,235.6,itc,241.6,15380000,235.0
2019-12-11,238.8,0.0085,237.6,itc,235.6,13800000,235.6
2019-12-12,240.2,0.004,238.55,itc,238.05,10310000,237.6
2019-12-13,242.5,0.0128,241.6,itc,240.0,8210000,239.2
2019-12-16,243.4,-0.0195,236.9,itc,243.0,12010000,236.35
2019-12-17,241.7,0.0175,241.05,itc,237.5,15920000,237.5
2019-12-18,247.35,0.017,245.15,itc,240.6,17130000,239.75
2019-12-19,247.9,-0.0033,244.35,itc,246.05,9340000,243.25
2019-12-20,245.1,-0.0131,241.15,itc,244.35,13960000,240.15
2019-12-23,242.8,-0.0093,238.9,itc,242.0,19080000,238.65
2019-12-24,240.2,-0.0006,238.75,itc,239.0,7900000,238.2
2019-12-26,239.4,-0.0081999999999999,236.8,itc,238.9,14460000,236.35
2019-12-27,238.45,0.0004,236.9,itc,237.5,8710000,236.45
2019-12-30,240.9,0.0055,238.2,itc,238.0,13170000,237.5
2019-12-31,238.95,-0.0021,237.7,itc,238.55,7140000,237.4
2020-01-01,238.6,0.0017,238.1,itc,238.6,4210000,237.1
2020-01-02,240.95,0.0073,239.85,itc,238.2,8400000,238.1
2020-01-03,241.0,-0.0056,238.5,itc,241.0,9280000,238.0
2020-01-06,238.3,-0.0143,235.1,itc,237.5,7640000,235.0
2020-01-07,237.9,0.0011,235.35,itc,236.05,8420000,234.6
2020-01-08,235.8,-0.0049,234.2,itc,234.0,7040000,233.25
2020-01-09,236.6,0.0068,235.8,itc,235.6,9450000,235.05
2020-01-10,238.75,0.0093,238.0,itc,237.6,9970000,236.8
2020-01-13,240.5,0.0053,239.25,itc,238.5,12240000,238.25
2020-01-14,243.8,0.0167,243.25,itc,240.25,11840000,238.3
2020-01-15,243.0,-0.0034999999999999,242.4,itc,242.55,5480000,241.1
2020-01-16,243.9,-0.0068,240.75,itc,242.5,9370000,240.1
2020-01-17,242.1,-0.0033,239.95,itc,240.75,7390000,239.4
2020-01-20,243.25,0.0081,241.9,itc,240.05,8020000,240.05
2020-01-21,241.45,-0.0143,238.45,itc,241.45,9570000,238.0
2020-01-22,239.6,-0.0017,238.05,itc,239.6,7650000,237.1
2020-01-23,238.75,-0.0006,237.9,itc,238.1,6120000,236.9
2020-01-24,239.1,0.0011,238.15,itc,237.4,6800000,237.0
