Date,Low,High,Open,Volume,Symbol,Price,Chg%
2017-12-26,2363.15,2387.5,2387.5,142750,britannia,2372.8,-0.0002
2017-12-27,2361.93,2375.0,2372.8,188500,britannia,2367.57,-0.0022
2017-12-28,2328.05,2370.57,2370.55,395050,britannia,2333.03,-0.0146
2017-12-29,2333.0,2364.47,2333.03,263160,britannia,2354.62,0.0093
2018-01-01,2357.6,2387.0,2375.0,112320,britannia,2369.12,0.0062
2018-01-02,2322.0,2371.12,2369.12,176800,britannia,2328.03,-0.0173
2018-01-03,2328.28,2354.97,2329.5,166050,britannia,2340.47,0.0053
2018-01-04,2305.07,2344.45,2329.5,334700,britannia,2313.2,-0.0116999999999999
2018-01-05,2307.18,2339.75,2331.0,264120,britannia,2322.05,0.0038
2018-01-08,2313.82,2355.5,2330.0,176830,britannia,2346.88,0.0107
2018-01-09,2312.43,2356.68,2350.0,244280,britannia,2320.97,-0.011
2018-01-10,2315.75,2354.5,2328.43,388760,britannia,2337.38,0.0070999999999999
2018-01-11,2316.0,2374.5,2335.0,223460,britannia,2360.78,0.01
2018-01-12,2330.68,2384.5,2367.5,257269,britannia,2354.15,-0.0028
2018-01-15,2352.5,2393.0,2354.15,177460,britannia,2359.93,0.0025
2018-01-16,2300.5,2386.5,2362.0,336200,britannia,2338.68,-0.009
2018-01-17,2320.03,2376.5,2340.0,205680,britannia,2374.9,0.0155
2018-01-18,2303.0,2389.4,2379.85,355850,britannia,2315.75,-0.0249
2018-01-19,2315.0,2346.4,2332.5,131190,britannia,2342.22,0.0113999999999999
2018-01-22,2335.0,2376.0,2337.5,161800,britannia,2353.68,0.0049
2018-01-23,2324.62,2380.28,2342.5,200710,britannia,2368.22,0.0062
2018-01-24,2340.53,2377.57,2368.2,160130,britannia,2359.62,-0.0036
2018-01-25,2300.5,2359.6,2359.6,796630,britannia,2312.8,-0.0197999999999999
2018-01-29,2303.5,2355.0,2320.0,220440,britannia,2346.05,0.0144
2018-01-30,2320.1,2370.03,2334.5,258329,britannia,2352.8,0.0029
2018-01-31,2323.6,2356.2,2345.0,143770,britannia,2342.07,-0.0046
2018-02-01,2327.93,2380.85,2342.12,297690,britannia,2370.25,0.012
2018-02-02,2288.5,2370.0,2337.75,374370,britannia,2363.22,-0.003
2018-02-05,2280.0,2349.5,2349.5,354840,britannia,2308.35,-0.0232
2018-02-06,2200.0,2310.25,2250.0,274270,britannia,2265.22,-0.0187
2018-02-07,2246.53,2312.5,2307.45,256579,britannia,2275.22,0.0044
2018-02-08,2257.75,2327.0,2274.93,199330,britannia,2314.0,0.017
2018-02-09,2263.03,2339.9,2263.03,241480,britannia,2320.57,0.0028
2018-02-12,2335.0,2395.0,2335.0,429510,britannia,2386.25,0.0283
2018-02-14,2373.18,2437.9,2432.5,699920,britannia,2382.07,-0.0018
2018-02-15,2350.78,2408.18,2393.9,165650,britannia,2377.88,-0.0018
2018-02-16,2368.0,2405.0,2400.5,165570,britannia,2390.97,0.0055
2018-02-19,2347.95,2390.75,2390.75,89960,britannia,2366.65,-0.0102
2018-02-20,2362.5,2390.0,2364.0,265360,britannia,2367.05,0.0002
2018-02-21,2369.8,2393.45,2387.5,246900,britannia,2384.88,0.0075
2018-02-22,2375.68,2437.5,2387.0,424910,britannia,2427.93,0.0181
2018-02-23,2437.55,2489.5,2450.0,305410,britannia,2480.95,0.0218
2018-02-26,2472.03,2499.0,2482.8,224700,britannia,2482.38,0.0006
2018-02-27,2455.25,2532.9,2487.5,427030,britannia,2476.12,-0.0025
2018-02-28,2448.65,2504.65,2465.0,180960,britannia,2497.12,0.0085
2018-03-01,2460.0,2499.97,2492.5,105070,britannia,2471.93,-0.0101
2018-03-05,2445.7,2469.72,2456.0,157470,britannia,2451.22,-0.0084
2018-03-06,2393.53,2467.45,2447.5,156360,britannia,2412.6,-0.0158
2018-03-07,2390.0,2457.5,2412.5,253840,britannia,2442.35,0.0123
2018-03-08,2411.12,2458.75,2452.75,268070,britannia,2424.2,-0.0074
2018-03-09,2412.12,2440.0,2434.5,377000,britannia,2420.9,-0.0014
2018-03-12,2410.38,2447.5,2437.5,146010,britannia,2433.4,0.0052
2018-03-13,2416.18,2447.5,2430.28,218070,britannia,2434.97,0.0006
2018-03-14,2403.0,2427.5,2425.12,208790,britannia,2411.88,-0.0095
2018-03-15,2406.2,2448.0,2421.5,606400,britannia,2434.12,0.0092
2018-03-16,2420.0,2447.5,2434.97,303840,britannia,2430.3,-0.0016
2018-03-19,2401.5,2434.97,2431.0,223660,britannia,2407.78,-0.0093
2018-03-20,2403.0,2417.5,2410.0,323250,britannia,2412.53,0.002
2018-03-21,2410.0,2428.0,2410.0,404660,britannia,2417.22,0.0019
2018-03-22,2410.25,2435.0,2427.5,177050,britannia,2419.1,0.0008
