,Date,Price,Open,High,Low,Volume,Chg%
953,"May 16, 2019",2716.2,2699.8,2737.0,2677.8,307.18K,1.06%
954,"May 15, 2019",2687.75,2700.0,2709.95,2660.0,322.36K,-0.37%
955,"May 14, 2019",2697.6,2675.9,2723.0,2658.05,403.04K,0.79%
956,"May 13, 2019",2676.55,2695.0,2707.6,2668.55,332.87K,-0.45%
957,"May 10, 2019",2688.55,2680.0,2725.0,2673.0,471.29K,0.60%
958,"May 09, 2019",2672.4,2637.0,2689.8,2637.0,457.84K,0.86%
959,"May 08, 2019",2649.5,2656.6,2667.1,2615.85,723.43K,-0.04%
960,"May 07, 2019",2650.55,2683.0,2720.5,2644.7,1.18M,-0.58%
961,"May 06, 2019",2666.0,2699.0,2699.0,2654.45,764.92K,-1.12%
962,"May 03, 2019",2696.15,2782.95,2803.85,2690.0,1.86M,-3.12%
963,"May 02, 2019",2783.05,2927.0,2959.95,2772.0,1.44M,-3.90%
964,"Apr 30, 2019",2896.05,2970.0,2974.9,2876.05,458.80K,-2.41%
965,"Apr 26, 2019",2967.7,2990.0,2990.0,2955.0,121.34K,-0.05%
966,"Apr 25, 2019",2969.25,2988.0,2999.0,2962.65,163.14K,-0.30%
967,"Apr 24, 2019",2978.2,2988.0,2997.55,2952.05,222.28K,-0.43%
968,"Apr 23, 2019",2991.0,3002.0,3013.95,2986.35,138.14K,-0.30%
969,"Apr 22, 2019",3000.15,2989.0,3014.0,2971.0,150.45K,0.08%
970,"Apr 18, 2019",2997.75,3029.85,3029.85,2988.15,155.31K,-0.75%
971,"Apr 16, 2019",3020.5,3000.0,3030.0,2998.0,258.56K,0.74%
972,"Apr 15, 2019",2998.45,2998.0,3008.0,2972.0,221.77K,0.47%
973,"Apr 12, 2019",2984.3,2952.0,2990.0,2944.0,261.48K,1.30%
974,"Apr 11, 2019",2946.05,2964.0,2974.05,2940.0,276.80K,-0.43%
975,"Apr 10, 2019",2958.8,2969.9,2995.0,2951.3,377.56K,-0.14%
976,"Apr 09, 2019",2962.9,2973.1,2988.75,2942.5,350.18K,-0.29%
977,"Apr 08, 2019",2971.5,3000.0,3013.95,2964.5,293.05K,-0.75%
978,"Apr 05, 2019",2994.05,3048.0,3051.05,2985.75,387.50K,-1.57%
979,"Apr 04, 2019",3041.8,3001.95,3055.0,2984.15,464.43K,1.73%
980,"Apr 03, 2019",2990.1,2990.0,3013.5,2955.2,439.72K,-0.14%
981,"Apr 02, 2019",2994.2,3056.0,3059.6,2980.4,378.15K,-1.82%
982,"Apr 01, 2019",3049.85,3104.95,3109.0,3044.0,497.41K,-1.16%
983,"Mar 29, 2019",3085.5,3120.0,3139.0,3045.0,595.11K,-0.36%
984,"Mar 28, 2019",3096.55,3092.0,3118.5,3028.0,3.47M,-0.01%
985,"Mar 27, 2019",3096.9,3117.0,3117.0,3078.0,360.84K,-0.07%
986,"Mar 26, 2019",3099.15,3100.0,3132.0,3060.0,340.65K,0.27%
987,"Mar 25, 2019",3090.75,3074.75,3099.0,3061.1,224.95K,-0.25%
988,"Mar 22, 2019",3098.6,3094.0,3117.9,3088.0,197.65K,0.34%
989,"Mar 20, 2019",3088.1,3126.8,3135.0,3079.4,257.00K,-1.19%
990,"Mar 19, 2019",3125.4,3128.0,3138.85,3084.0,184.38K,0.07%
991,"Mar 18, 2019",3123.35,3090.0,3134.9,3060.1,238.91K,1.85%
992,"Mar 15, 2019",3066.55,3160.0,3169.0,3054.7,403.25K,-2.63%
993,"Mar 14, 2019",3149.4,3135.0,3170.0,3116.0,293.23K,0.72%
994,"Mar 13, 2019",3126.95,3136.0,3150.0,3093.9,298.03K,-0.26%
995,"Mar 12, 2019",3135.15,3165.9,3178.8,3120.9,413.12K,0.05%
996,"Mar 11, 2019",3133.45,3086.0,3139.5,3066.5,336.19K,2.03%
997,"Mar 08, 2019",3071.2,3041.0,3079.5,3021.0,190.65K,0.90%
998,"Mar 07, 2019",3043.85,3045.0,3069.0,3028.7,254.41K,0.56%
999,"Mar 06, 2019",3026.85,3086.95,3086.95,3009.0,383.04K,-1.37%
