,Date,Price,Open,High,Low,Volume,Chg%
1166,"Jul 03, 2018",265.45,263.5,266.75,261.15,10.39M,0.91%
1167,"Jul 02, 2018",263.05,267.0,267.1,260.05,18.10M,-1.18%
1168,"Jun 29, 2018",266.2,261.8,267.55,260.3,10.91M,2.19%
1169,"Jun 28, 2018",260.5,262.0,264.0,259.0,14.64M,-0.86%
1170,"Jun 27, 2018",262.75,264.9,265.0,261.5,10.04M,-0.77%
1171,"Jun 26, 2018",264.8,262.45,266.15,262.15,10.09M,0.84%
1172,"Jun 25, 2018",262.6,265.15,265.4,259.75,13.62M,-0.96%
1173,"Jun 22, 2018",265.15,260.55,266.8,260.0,16.82M,1.65%
1174,"Jun 21, 2018",260.85,264.4,264.8,260.4,7.14M,-1.10%
1175,"Jun 20, 2018",263.75,266.45,267.0,263.05,9.54M,-0.86%
1176,"Jun 19, 2018",266.05,264.9,267.15,262.65,7.34M,0.57%
1177,"Jun 18, 2018",264.55,264.45,265.5,263.5,6.28M,0.02%
1178,"Jun 15, 2018",264.5,267.5,267.75,263.6,10.81M,-1.03%
1179,"Jun 14, 2018",267.25,266.5,268.9,266.0,9.17M,-0.22%
1180,"Jun 13, 2018",267.85,271.5,271.8,267.2,7.82M,-0.89%
1181,"Jun 12, 2018",270.25,269.3,274.6,269.25,8.45M,0.37%
1182,"Jun 11, 2018",269.25,268.5,271.9,268.15,8.57M,0.50%
1183,"Jun 08, 2018",267.9,271.1,271.5,267.0,6.77M,-1.16%
1184,"Jun 07, 2018",271.05,270.5,272.3,270.1,6.80M,0.24%
1185,"Jun 06, 2018",270.4,268.0,271.15,267.8,7.30M,1.08%
1186,"Jun 05, 2018",267.5,269.0,269.85,266.85,5.79M,-0.52%
1187,"Jun 04, 2018",268.9,270.25,271.95,267.5,7.98M,-0.39%
1188,"Jun 01, 2018",269.95,271.15,271.7,269.1,6.61M,-0.63%
1189,"May 31, 2018",271.65,272.2,272.7,269.6,13.21M,-0.09%
1190,"May 30, 2018",271.9,272.5,273.7,270.65,8.01M,-0.78%
1191,"May 29, 2018",274.05,274.8,277.75,272.45,8.83M,-0.45%
1192,"May 28, 2018",275.3,274.0,277.5,272.4,7.00M,1.10%
1193,"May 25, 2018 D",272.3,272.4,275.0,268.75,9.24M,-0.93%
1194,"May 24, 2018",274.85,274.0,276.8,271.75,6.28M,0.51%
1195,"May 23, 2018",273.45,279.0,279.4,272.95,7.89M,-1.90%
1196,"May 22, 2018",278.75,282.0,283.1,278.05,4.73M,-1.28%
1197,"May 21, 2018",282.35,282.3,284.0,278.5,8.58M,0.02%
