Date,Low,Volume,Price,Chg%,High,Open
2021-09-01,3963.85,352460,4015.35,0.0045,4025.9,3984.6
2021-09-02,4002.05,525680,4086.1,0.0176,4104.0,4015.0
2021-09-03,4073.15,426380,4124.2,0.0093,4134.7,4105.0
2021-09-06,4061.0,312610,4079.05,-0.0109,4149.3,4144.4
2021-09-07,4080.0,259529,4095.45,0.004,4129.6,4096.9
2021-09-08,4015.7,236280,4061.4,-0.0083,4087.9,4079.8
2021-09-09,4050.1,295130,4070.8,0.0023,4118.8,4058.8
2021-09-13,4058.8,171200,4093.85,0.0056999999999999,4103.0,4070.8
2021-09-14,4082.4,419440,4101.5,0.0019,4153.0,4097.0
2021-09-15,4071.05,218160,4086.35,-0.0037,4135.0,4105.2
2021-09-16,4039.8,243640,4073.05,-0.0033,4120.0,4086.35
2021-09-17,4041.0,621520,4051.85,-0.0052,4115.0,4077.4
2021-09-20,4000.0,291100,4084.5,0.0081,4115.0,4035.0
2021-09-21,4053.0,424260,4075.55,-0.0022,4111.55,4062.2
2021-09-22,4049.1,259940,4058.5,-0.0042,4105.0,4082.0
2021-09-23,4017.5,322860,4042.35,-0.004,4075.45,4060.0
2021-09-24,4030.0,373610,4042.9,0.0001,4098.95,4040.0
2021-09-27,4000.0,248900,4009.6,-0.0081999999999999,4064.6,4049.9
2021-09-28,3990.05,354950,4003.65,-0.0015,4068.95,4005.2
2021-09-29,3959.15,332450,3972.75,-0.0077,4019.9,3982.0
2021-09-30,3940.3,217500,3948.95,-0.006,3993.0,3972.0
2021-10-01,3885.0,181920,3921.1,-0.0070999999999999,3958.8,3958.8
2021-10-04,3881.0,372750,3892.9,-0.0072,3967.25,3910.0
2021-10-05,3865.5,131730,3882.2,-0.0027,3905.25,3894.0
2021-10-06,3882.25,409840,3938.6,0.0144999999999999,3993.15,3893.0
2021-10-07,3877.45,187560,3900.6,-0.0096,3963.65,3959.8
2021-10-08,3846.85,316870,3883.3,-0.0044,3929.0,3915.0
2021-10-11,3831.2,253050,3840.6,-0.011,3900.75,3880.0
2021-10-12,3815.0,253260,3867.95,0.0070999999999999,3874.75,3821.0
2021-10-13,3854.5,174220,3883.7,0.0040999999999999,3894.1,3871.4
2021-10-14,3881.0,299080,3894.85,0.0029,3925.0,3912.0
2021-10-18,3825.0,256839,3837.35,-0.0148,3960.0,3960.0
2021-10-19,3780.0,282930,3795.9,-0.0108,3868.35,3860.35
2021-10-20,3740.0,523000,3762.0,-0.0089,3917.35,3800.0
2021-10-21,3680.0,335590,3714.35,-0.0127,3798.5,3798.5
2021-10-22,3650.0,192030,3690.0,-0.0066,3760.0,3734.0
2021-10-25,3617.7,289030,3631.05,-0.016,3696.55,3690.0
2021-10-26,3605.85,326830,3692.8,0.017,3705.05,3649.0
2021-10-27,3681.45,441020,3697.85,0.0014,3731.2,3700.9
2021-10-28,3654.0,193660,3681.9,-0.0043,3728.7,3725.0
2021-10-29,3641.05,283540,3675.75,-0.0017,3708.95,3681.0
2021-11-01,3651.1,139770,3678.15,0.0007,3700.0,3694.0
2021-11-02,3667.05,151550,3682.9,0.0013,3707.6,3680.2
2021-11-03,3618.05,185300,3629.85,-0.0144,3699.8,3695.0
2021-11-04,3639.35,23650,3652.6,0.0063,3666.5,3658.0
2021-11-08,3620.0,336940,3717.7,0.0178,3728.85,3666.0
2021-11-09,3535.15,1400000,3621.6,-0.0258,3639.0,3590.0
2021-11-10,3600.0,706760,3698.5,0.0212,3720.0,3629.45
2021-11-11,3633.3,298630,3643.4,-0.0149,3718.0,3699.1
2021-11-12,3641.25,275060,3687.95,0.0121999999999999,3701.95,3668.6
2021-11-15,3674.0,320670,3742.6,0.0148,3747.6,3700.0
2021-11-16,3681.0,199180,3690.75,-0.0139,3760.0,3751.0
2021-11-17,3607.8,251000,3615.05,-0.0204999999999999,3699.95,3690.75
2021-11-18,3555.0,248830,3571.6,-0.012,3644.8,3644.8
2021-11-22,3570.0,364650,3581.6,0.0028,3628.5,3589.0
2021-11-23,3574.0,365670,3662.15,0.0225,3670.0,3577.8
2021-11-24,3610.0,149030,3623.35,-0.0106,3674.0,3660.0
2021-11-25,3566.0,232780,3573.4,-0.0138,3633.8,3610.5
2021-11-26,3533.95,372530,3555.3,-0.0051,3635.1,3560.0
